System Properties:																																												
Operating System:	 Microsoft Windows NT 6.0.6001 Service Pack 1																																											
System User Name:	 Tobii																																											
Machine Name:	 MOUNTDOOM																																											
																																												
Data properties:																																												
																																												
Recording name:	 Rec 25																																											
Recording date:	 7/9/2009																																											
Recording time:	 5:54:17 PM																																											
Recording resolution:	 1280 x 800																																											
																																												
Export date:	 7/13/2009																																											
Export time:	 12:49:19 PM																																											
																																												
Participant:	 P1																																											
Filter settings:																																												
																																												
Eye: Average																																												
Validity: Normal																																												
Fixation filter: Tobii fixation filter																																												
Fixation radius: 35																																												
																																												
Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	AudioSampleNumber		
0																					MovieStart	128	0	0	colorbars_Final.avi																	
369	17:54:17.369	00:00:00.368	21	527.9638	348.594200	0.646418	0.405580	705.158600	3.305527	0	546.2219	362.539600	0.486895	0.403593	708.418800	3.832975	0	7	537.000000	356						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		537.000000	356	368849	2487813734	241786
385	17:54:17.385	00:00:00.385	22	521.0621	357.417500	0.646403	0.405521	705.092700	3.259552	0	539.0914	357.779600	0.486861	0.403508	708.219900	3.788753	0	7	530.000000	358						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		530.000000	358	385472	2487830357	242583
402	17:54:17.402	00:00:00.402	23	524.7718	353.591800	0.646384	0.405513	705.130600	3.199606	0	544.6854	379.285100	0.486845	0.403484	708.163300	3.782149	0	7	535.000000	366						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		535.000000	366	402096	2487846981	243381
419	17:54:17.419	00:00:00.418	24	522.4903	361.777300	0.646344	0.405469	705.289200	3.155884	0	547.6038	370.887600	0.486812	0.403467	708.221500	3.687310	0	7	535.000000	366						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		535.000000	366	418718	2487863603	244179
435	17:54:17.435	00:00:00.435	25	513.5477	349.918300	0.646258	0.405387	705.188400	3.059888	0	541.0032	380.754200	0.486728	0.403423	708.479000	3.660826	0	7	527.000000	365						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		527.000000	365	435467	2487880352	244983
452	17:54:17.452	00:00:00.452	26	526.0546	376.202000	0.646196	0.405317	705.121000	3.073786	0	533.9448	363.375400	0.486680	0.403386	708.423700	3.601127	0	7	530.000000	370						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		530.000000	370	452092	2487896977	245781
469	17:54:17.469	00:00:00.468	27	511.8161	362.124100	0.646134	0.405281	705.163900	3.012342	0	539.3998	366.528800	0.486627	0.403359	708.259900	3.540798	0	7	526.000000	364						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		526.000000	364	468713	2487913598	246579
485	17:54:17.485	00:00:00.485	28	520.3899	367.386600	0.646057	0.405263	705.241200	2.953578	0	541.4078	374.564200	0.486594	0.403360	708.318200	3.534497	0	7	531.000000	371						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		531.000000	371	485338	2487930223	247377
502	17:54:17.502	00:00:00.502	29	521.703	349.563500	0.646004	0.405254	705.244900	2.925629	0	534.1403	379.489400	0.486556	0.403347	708.262000	3.493716	0	7	528.000000	365						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		528.000000	365	502083	2487946968	248181
519	17:54:17.519	00:00:00.518	30	515.5926	366.327500	0.645966	0.405258	705.163500	2.888724	0	537.325	367.433300	0.486531	0.403375	708.263400	3.404337	0	7	526.000000	367						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		526.000000	367	518705	2487963590	248978
535	17:54:17.535	00:00:00.535	31	512.2819	351.406900	0.645922	0.405118	705.221700	2.812122	0	542.491	377.059800	0.486498	0.403281	708.277400	3.382767	0	7	527.000000	364						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		527.000000	364	535326	2487980211	249776
552	17:54:17.552	00:00:00.551	32	513.8287	356.640400	0.645891	0.405049	705.228100	2.805811	0	536.6683	369.665400	0.486469	0.403249	708.254600	3.332195	0	7	525.000000	363						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		525.000000	363	551950	2487996835	250574
569	17:54:17.569	00:00:00.568	33	523.5859	348.652900	0.645866	0.405013	705.276200	2.759074	0	536.0509	385.412000	0.486455	0.403252	708.236400	3.314072	0	7	530.000000	367						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		530.000000	367	568698	2488013583	251378
585	17:54:17.585	00:00:00.585	34	544.2659	364.781700	0.645515	0.404982	704.943200	2.786958	0	567.3731	391.445000	0.486069	0.403303	708.160400	3.269802	0	7	556.000000	378						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		556.000000	378	585321	2488030206	252176
602	17:54:17.602	00:00:00.601	35	679.0333	385.751700	0.644560	0.405009	705.118700	2.772023	0	708.1473	396.180200	0.485154	0.403388	708.645900	3.230723	0	8	694.000000	391						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		694.000000	391	601942	2488046827	252974
619	17:54:17.619	00:00:00.618	36	728.5004	379.279100	0.644200	0.404975	704.874800	2.724055	0	735.4056	387.014400	0.484927	0.403359	708.710400	3.182291	0	8	732.000000	383						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		732.000000	383	618566	2488063451	253772
635	17:54:17.635	00:00:00.635	37	739.6703	376.344800	0.644324	0.404992	704.877400	2.693696	0	736.9553	393.790400	0.485020	0.403320	708.411500	3.133813	0	8	738.000000	385						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		738.000000	385	635313	2488080198	254576
652	17:54:17.652	00:00:00.651	38	724.896	353.023400	0.644407	0.405006	705.041100	2.667329	0	727.8572	403.698400	0.485090	0.403341	708.519200	3.128433	0	8	726.000000	378						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		726.000000	378	651957	2488096842	255374
669	17:54:17.669	00:00:00.668	39	730.356	374.971500	0.644497	0.405013	705.058400	2.645991	0	728.6276	377.826700	0.485189	0.403308	708.649800	3.044123	0	8	729.000000	376						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		729.000000	376	668564	2488113449	256172
685	17:54:17.685	00:00:00.685	40	723.5549	338.746100	0.644617	0.405050	704.918800	2.577170	0	737.1329	391.796300	0.485353	0.403283	708.702300	3.041607	0	8	730.000000	365						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		730.000000	365	685186	2488130071	256969
702	17:54:17.702	00:00:00.701	41	728.1224	380.523700	0.644805	0.405117	705.046200	2.609953	0	737.4238	388.903800	0.485497	0.403319	708.472200	3.025128	0	8	733.000000	385						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		733.000000	385	701934	2488146819	257773
719	17:54:17.719	00:00:00.718	42	723.5062	389.953900	0.644916	0.405149	705.134100	2.613760	0	727.0739	387.416000	0.485604	0.403312	708.530100	2.985370	0	8	725.000000	389						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		725.000000	389	718556	2488163441	258571
735	17:54:17.735	00:00:00.735	43	724.1663	378.542000	0.645018	0.405191	705.147300	2.591691	0	733.075	395.349200	0.485730	0.403298	708.755400	2.973913	0	8	729.000000	387						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		729.000000	387	735183	2488180068	259369
752	17:54:17.752	00:00:00.751	44	727.7648	376.478200	0.645146	0.405275	705.104300	2.567068	0	734.1559	405.735400	0.485892	0.403250	708.676200	2.968142	0	8	731.000000	391						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		731.000000	391	751804	2488196689	260167
769	17:54:17.769	00:00:00.768	45	722.3678	384.918500	0.645265	0.405337	705.068100	2.547532	0	737.8901	380.757000	0.486015	0.403298	708.472000	2.899715	0	8	730.000000	383						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		730.000000	383	768552	2488213437	260971
785	17:54:17.785	00:00:00.785	46	731.184	348.662100	0.645382	0.405291	705.209500	2.470910	0	729.3368	382.870800	0.486095	0.403216	708.574800	2.890100	0	8	730.000000	366						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		730.000000	366	785174	2488230059	261769
802	17:54:17.802	00:00:00.801	47	725.5151	364.951700	0.645448	0.405239	705.257200	2.490873	0	727.3068	396.642400	0.486175	0.403187	708.733200	2.941569	0	8	726.000000	381						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		726.000000	381	801800	2488246685	262567
818	17:54:17.818	00:00:00.818	48	738.0199	349.595400	0.645495	0.405179	705.321100	2.502253	0	746.5623	382.027000	0.486261	0.403101	709.054100	2.868354	0	8	742.000000	366						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		742.000000	366	818435	2488263320	263365
835	17:54:17.835	00:00:00.835	49	726.7378	335.861600	0.645536	0.405111	705.352100	2.450009	0	737.6978	387.914500	0.486335	0.403029	708.902600	2.871258	0	8	732.000000	362						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		732.000000	362	835174	2488280059	264169
852	17:54:17.852	00:00:00.851	50	727.1837	370.566300	0.645559	0.405053	705.360500	2.512685	0	725.4969	388.181900	0.486371	0.402944	708.929100	2.856842	0	8	726.000000	379						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		726.000000	379	851796	2488296681	264967
868	17:54:17.868	00:00:00.868	51	724.3926	374.638000	0.645571	0.405019	705.364200	2.518044	0	733.035	382.905400	0.486387	0.402896	708.964900	2.798182	0	8	729.000000	379						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		729.000000	379	868418	2488313303	265764
885	17:54:17.885	00:00:00.885	52	737.3437	392.434200	0.645582	0.404982	705.409100	2.559651	0	728.9448	361.396400	0.486403	0.402869	708.965600	2.753058	0	8	733.000000	377						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		733.000000	377	885166	2488330051	266568
902	17:54:17.902	00:00:00.901	53	716.6986	375.654100	0.645588	0.404796	705.543400	2.485944	0	722.3849	389.889300	0.486413	0.402767	708.988500	2.808734	0	8	720.000000	383						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		720.000000	383	901789	2488346674	267366
918	17:54:17.918	00:00:00.918	54	719.8322	340.876200	0.645605	0.404735	705.650000	2.384649	0	721.286	374.399500	0.486427	0.402682	708.903700	2.766758	0	8	721.000000	358						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		721.000000	358	918412	2488363297	268164
935	17:54:17.935	00:00:00.935	55	724.6215	378.334600	0.645621	0.404707	705.662200	2.475706	0	728.5693	371.091900	0.486440	0.402667	708.923900	2.756880	0	8	727.000000	375						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		727.000000	375	935036	2488379921	268962
952	17:54:17.952	00:00:00.951	56	716.7587	337.261500	0.645636	0.404652	705.707500	2.383263	0	724.118	389.436300	0.486461	0.402606	708.915700	2.754113	0	8	720.000000	363						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		720.000000	363	951783	2488396668	269766
968	17:54:17.968	00:00:00.968	57	732.365	347.706700	0.645658	0.404537	705.635900	2.403433	0	736.7258	376.830600	0.486496	0.402527	708.796200	2.722729	0	8	735.000000	362						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		735.000000	362	968407	2488413292	270564
985	17:54:17.985	00:00:00.985	58	735.785	362.634300	0.645677	0.404488	705.651000	2.411201	0	733.3302	377.438100	0.486521	0.402452	708.830600	2.710944	0	8	735.000000	370						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		735.000000	370	985028	2488429913	271362
1002	17:54:18.002	00:00:01.001	59	725.2509	363.068900	0.645718	0.404520	705.646500	2.426182	0	718.3698	351.461000	0.486545	0.402510	708.806300	2.665008	0	8	722.000000	357						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		722.000000	357	1001651	2488446536	272159
1018	17:54:18.018	00:00:01.018	60	729.926	347.525600	0.645744	0.404483	705.662300	2.430855	0	733.3325	381.811600	0.486563	0.402476	708.813700	2.774894	0	8	732.000000	365						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		732.000000	365	1018398	2488463283	272963
1035	17:54:18.035	00:00:01.035	61	738.0336	323.781100	0.645808	0.404401	705.807200	2.341861	0	734.1633	358.053000	0.486600	0.402400	708.912400	2.685397	0	8	736.000000	341						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		736.000000	341	1035022	2488479907	273761
1052	17:54:18.052	00:00:01.051	62	730.6066	352.465500	0.645859	0.404508	705.707300	2.391996	0	728.2096	407.849100	0.486650	0.402457	709.011700	2.778808	0	8	729.000000	380						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		729.000000	380	1051644	2488496529	274559
1068	17:54:18.068	00:00:01.068	63	739.8398	361.214000	0.645899	0.404515	705.693700	2.439419	0	732.2086	350.772200	0.486691	0.402436	709.090300	2.681394	0	8	736.000000	356						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		736.000000	356	1068267	2488513152	275357
1085	17:54:18.085	00:00:01.085	64	748.8964	334.901600	0.645934	0.404516	705.697000	2.310014	0	718.4718	360.100600	0.486745	0.402411	709.239600	2.687632	0	8	734.000000	348						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		734.000000	348	1085012	2488529897	276161
1102	17:54:18.102	00:00:01.101	65	733.2778	358.900400	0.645973	0.404583	705.684200	2.394449	0	726.6732	371.382300	0.486781	0.402437	709.270400	2.663769	0	8	730.000000	365						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		730.000000	365	1101638	2488546523	276959
1118	17:54:18.118	00:00:01.118	66	732.879	332.045000	0.646007	0.404629	705.709300	2.329488	0	725.3867	374.923000	0.486810	0.402443	709.276200	2.660857	0	8	729.000000	353						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		729.000000	353	1118263	2488563148	277757
1135	17:54:18.135	00:00:01.134	67	733.8657	344.371400	0.646020	0.404578	705.726300	2.308657	0	728.0909	372.359000	0.486828	0.402403	709.295400	2.639544	0	8	731.000000	358						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		731.000000	358	1134883	2488579768	278554
1152	17:54:18.152	00:00:01.151	68	734.0423	333.229500	0.646026	0.404591	705.709000	2.321642	0	732.8707	373.100300	0.486857	0.402332	709.150000	2.655553	0	8	733.000000	353						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		733.000000	353	1151632	2488596517	279358
1168	17:54:18.168	00:00:01.168	69	721.0382	334.104400	0.646022	0.404668	705.708900	2.349009	0	718.3945	373.229100	0.486830	0.402469	709.323200	2.665550	0	8	720.000000	354						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		720.000000	354	1168256	2488613141	280156
1185	17:54:18.185	00:00:01.184	70	724.1754	339.437300	0.646011	0.404640	705.673300	2.369783	0	733.4531	380.573100	0.486824	0.402440	709.372100	2.634179	0	8	729.000000	360						colorbars_Final.avi	0	1280	800	0	0	730	366	600	0	Content		729.000000	360	1184877	2488629762	280954
1202	17:54:18.202	00:00:01.201	71	622.1205	329.897800	0.646639	0.404542	705.938600	2.342236	0	633.8442	326.933400	0.487426	0.402290	709.190600	2.586660	0	9	628.000000	328						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		628.000000	328	1201501	2488646386	281752
1218	17:54:18.218	00:00:01.218	72	521.0017	325.701800	0.647423	0.404464	705.674600	2.363568	0	534.5812	340.881500	0.488316	0.402149	709.177400	2.644382	0	9	528.000000	333						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		528.000000	333	1218251	2488663136	282556
1235	17:54:18.235	00:00:01.234	73	495.9186	315.292600	0.647566	0.404447	705.807100	2.407381	0	512.611	321.707400	0.488567	0.402102	708.849200	2.594517	0	9	504.000000	318						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		504.000000	318	1234870	2488679755	283354
1251	17:54:18.251	00:00:01.251	74	516.4011	310.795400	0.647559	0.404385	705.868600	2.393249	0	512.0859	317.270700	0.488527	0.402068	708.983200	2.645889	0	9	514.000000	314						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		514.000000	314	1251496	2488696381	284152
1268	17:54:18.268	00:00:01.268	75	489.0512	292.709100	0.647559	0.404303	705.881300	2.376563	0	515.0405	340.238600	0.488515	0.401968	708.926100	2.712792	0	9	502.000000	316						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		502.000000	316	1268122	2488713007	284950
1285	17:54:18.285	00:00:01.284	76	493.0125	294.420900	0.647587	0.404325	705.927800	2.368827	0	514.9459	325.212500	0.488511	0.401993	708.922700	2.652188	0	9	504.000000	310						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		504.000000	310	1284867	2488729752	285754
1301	17:54:18.301	00:00:01.301	77	512.3649	294.793200	0.647581	0.404318	705.940700	2.337634	0	494.5104	328.953600	0.488471	0.401990	709.035900	2.690507	0	9	503.000000	312						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		503.000000	312	1301488	2488746373	286551
1318	17:54:18.318	00:00:01.318	78	506.0907	312.063500	0.647551	0.404265	705.876700	2.350318	0	498.6554	316.079400	0.488429	0.401937	709.076200	2.666525	0	9	502.000000	314						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		502.000000	314	1318112	2488762997	287349
1335	17:54:18.335	00:00:01.334	79	503.4584	321.370500	0.647527	0.404228	705.788900	2.451503	0	497.7209	300.323800	0.488354	0.401936	709.288300	2.592440	0	9	501.000000	311						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		501.000000	311	1334735	2488779620	288147
1351	17:54:18.351	00:00:01.351	80	508.0859	300.539500	0.647491	0.404220	705.700200	2.426156	0	490.4227	318.188600	0.488307	0.401957	709.285200	2.650839	0	9	499.000000	309						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		499.000000	309	1351481	2488796366	288951
1368	17:54:18.368	00:00:01.368	81	514.9919	306.712800	0.647465	0.404201	705.732600	2.385919	0	499.4854	308.256000	0.488247	0.401962	709.158100	2.650769	0	9	507.000000	307						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		507.000000	307	1368103	2488812988	289749
1385	17:54:18.385	00:00:01.384	82	501.2282	294.565300	0.647444	0.404172	705.764000	2.330373	0	496.629	308.093700	0.488216	0.401914	709.080400	2.653446	0	9	499.000000	301						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		499.000000	301	1384724	2488829609	290547
1401	17:54:18.401	00:00:01.401	83	501.8265	300.373900	0.647442	0.404212	705.740400	2.401654	0	505.815	303.570800	0.488203	0.401965	709.066300	2.654395	0	9	504.000000	302						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		504.000000	302	1401349	2488846234	291345
1418	17:54:18.418	00:00:01.418	84	502.3828	299.411500	0.647456	0.404252	705.724200	2.426565	0	506.3514	320.649900	0.488230	0.402026	709.172900	2.691895	0	9	504.000000	310						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		504.000000	310	1418092	2488862977	292148
1435	17:54:18.435	00:00:01.434	85	513.4205	320.323500	0.647479	0.404227	705.646600	2.500736	0	488.9698	313.045300	0.488237	0.401987	709.040500	2.722167	0	9	501.000000	317						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		501.000000	317	1434715	2488879600	292946
1451	17:54:18.451	00:00:01.451	86	510.0637	312.953500	0.647523	0.404249	705.684600	2.406503	0	498.7596	321.547200	0.488290	0.402000	709.148400	2.711184	0	9	504.000000	317						colorbars_Final.avi	0	1280	800	0	0	504	314	383	0	Content		504.000000	317	1451337	2488896222	293744
